Date,Winning Numbers,Jackpot Amount
18/09/2024,4 8 27 28 35 36,17855427500
15/09/2024,3 11 28 32 33 35,16097503500
15/09/2024,3 11 28 32 33 35,16097503500
13/09/2024,6 12 27 34 41 42,14538458000
13/09/2024,6 12 27 34 41 42,14538458000
11/09/2024,6 11 19 23 34 37,13176145000
11/09/2024,6 11 19 23 34 37,13176145000
08/09/2024,3 8 10 26 34 37,28144908000
08/09/2024,3 8 10 26 34 37,28144908000
06/09/2024,5 25 28 32 36 41,26383657500
06/09/2024,5 25 28 32 36 41,26383657500
04/09/2024,2 7 15 18 24 33,24441923000
04/09/2024,2 7 15 18 24 33,24441923000
01/09/2024,30 31 33 38 42 43,22540554500
01/09/2024,30 31 33 38 42 43,22540554500
30/08/2024,2 15 19 26 34 36,20718469000
30/08/2024,2 15 19 26 34 36,20718469000
28/08/2024,4 5 17 25 39 41,18798951500
28/08/2024,4 5 17 25 39 41,18798951500
25/08/2024,6 10 15 17 40 42,17010599000
25/08/2024,6 10 15 17 40 42,17010599000
23/08/2024,7 13 26 28 35 41,15205954500
23/08/2024,7 13 26 28 35 41,15205954500
21/08/2024,7 8 9 15 22 30,13466623500
21/08/2024,7 8 9 15 22 30,13466623500
18/08/2024,4 13 28 33 35 38,15056391500
18/08/2024,4 13 28 33 35 38,15056391500
16/08/2024,16 22 23 30 34 41,13447188500
16/08/2024,16 22 23 30 34 41,13447188500
14/08/2024,1 6 9 21 43 44,17116579000
14/08/2024,1 6 9 21 43 44,17116579000
11/08/2024,17 18 19 33 35 37,15199287000
11/08/2024,17 18 19 33 35 37,15199287000
09/08/2024,6 14 15 24 26 39,13483702000
09/08/2024,6 14 15 24 26 39,13483702000
07/08/2024,11 19 22 29 40 44,47395426500
07/08/2024,11 19 22 29 40 44,47395426500
04/08/2024,1 4 16 18 20 32,42127575500
04/08/2024,1 4 16 18 20 32,42127575500
02/08/2024,9 14 19 34 37 41,37052164000
02/08/2024,9 14 19 34 37 41,37052164000
31/07/2024,2 4 12 16 18 42,33278054500
31/07/2024,2 4 12 16 18 42,33278054500
28/07/2024,1 13 21 25 31 39,31100674000
28/07/2024,1 13 21 25 31 39,31100674000
26/07/2024,18 20 28 31 39 45,28738175000
26/07/2024,18 20 28 31 39 45,28738175000
24/07/2024,7 8 20 27 32 34,26628545500
24/07/2024,7 8 20 27 32 34,26628545500
21/07/2024,9 10 23 25 28 38,24380999000
21/07/2024,9 10 23 25 28 38,24380999000
19/07/2024,1 10 20 25 34 35,22544117000
19/07/2024,1 10 20 25 34 35,22544117000
17/07/2024,9 10 11 16 21 30,20516749500
17/07/2024,9 10 11 16 21 30,20516749500
14/07/2024,9 18 33 37 38 43,18676058500
14/07/2024,9 18 33 37 38 43,18676058500
12/07/2024,11 17 25 26 28 29,17018319000
12/07/2024,11 17 25 26 28 29,17018319000
10/07/2024,23 24 36 37 40 45,15294625500
10/07/2024,23 24 36 37 40 45,15294625500
07/07/2024,4 8 22 23 26 45,13539605500
07/07/2024,4 8 22 23 26 45,13539605500
05/07/2024,4 23 33 38 40 44,20185430500
05/07/2024,4 23 33 38 40 44,20185430500
03/07/2024,11 18 24 34 38 43,18339607000
03/07/2024,11 18 24 34 38 43,18339607000
30/06/2024,5 23 25 28 30 43,16735323500
30/06/2024,5 23 25 28 30 43,16735323500
28/06/2024,4 6 16 32 41 44,15172247000
28/06/2024,4 6 16 32 41 44,15172247000
26/06/2024,8 10 29 30 33 40,13538712500
26/06/2024,8 10 29 30 33 40,13538712500
23/06/2024,9 11 19 29 31 44,19775097000
23/06/2024,9 11 19 29 31 44,19775097000
21/06/2024,3 7 11 16 19 35,18108742500
21/06/2024,3 7 11 16 19 35,18108742500
19/06/2024,8 12 17 23 26 27,16583396500
19/06/2024,8 12 17 23 26 27,16583396500
